minute_of_day,utc_timestamp,local_timestamp,utc_datetime,local_datetime,record_type,device_count,motion_count,battery_level,temperature_c,device_macs,device_rssis
776,1757768160.0,1757768160.0,2025-09-13 12:56:00 UTC,2025-09-13 07:56:00,no_device_proximity,0,1,93,32,,
777,1757768220.0,1757768220.0,2025-09-13 12:57:00 UTC,2025-09-13 07:57:00,device_scan,1,29,93,32,"[""B04773""]",[-35]
778,1757768280.0,1757768280.0,2025-09-13 12:58:00 UTC,2025-09-13 07:58:00,device_scan,1,37,94,32,"[""B04773""]",[-42]
779,1757768340.0,1757768340.0,2025-09-13 12:59:00 UTC,2025-09-13 07:59:00,device_scan,1,45,94,32,"[""B04773""]",[-52]
780,1757768400.0,1757768400.0,2025-09-13 13:00:00 UTC,2025-09-13 08:00:00,device_scan,1,21,94,32,"[""B04773""]",[-81]
781,1757768460.0,1757768460.0,2025-09-13 13:01:00 UTC,2025-09-13 08:01:00,no_device_proximity,0,6,94,32,,
782,1757768520.0,1757768520.0,2025-09-13 13:02:00 UTC,2025-09-13 08:02:00,no_device_proximity,0,42,94,32,,
783,1757768580.0,1757768580.0,2025-09-13 13:03:00 UTC,2025-09-13 08:03:00,no_device_proximity,0,45,94,32,,
784,1757768640.0,1757768640.0,2025-09-13 13:04:00 UTC,2025-09-13 08:04:00,no_device_proximity,0,38,94,32,,
785,1757768700.0,1757768700.0,2025-09-13 13:05:00 UTC,2025-09-13 08:05:00,device_scan,1,28,95,32,"[""B04773""]",[-78]
786,1757768760.0,1757768760.0,2025-09-13 13:06:00 UTC,2025-09-13 08:06:00,no_device_proximity,0,12,95,32,,
787,1757768820.0,1757768820.0,2025-09-13 13:07:00 UTC,2025-09-13 08:07:00,no_device_proximity,0,29,95,32,,
788,1757768880.0,1757768880.0,2025-09-13 13:08:00 UTC,2025-09-13 08:08:00,no_device_proximity,0,12,95,32,,
789,1757768940.0,1757768940.0,2025-09-13 13:09:00 UTC,2025-09-13 08:09:00,no_device_proximity,0,33,92,32,,
790,1757769000.0,1757769000.0,2025-09-13 13:10:00 UTC,2025-09-13 08:10:00,no_device_proximity,0,41,95,32,,
791,1757769060.0,1757769060.0,2025-09-13 13:11:00 UTC,2025-09-13 08:11:00,device_scan,1,15,95,32,"[""B04773""]",[-83]
792,1757769120.0,1757769120.0,2025-09-13 13:12:00 UTC,2025-09-13 08:12:00,device_scan,1,55,95,32,"[""B04773""]",[-80]
793,1757769180.0,1757769180.0,2025-09-13 13:13:00 UTC,2025-09-13 08:13:00,no_device_proximity,0,39,95,32,,
794,1757769240.0,1757769240.0,2025-09-13 13:14:00 UTC,2025-09-13 08:14:00,no_device_proximity,0,27,90,32,,
795,1757769300.0,1757769300.0,2025-09-13 13:15:00 UTC,2025-09-13 08:15:00,device_scan,1,6,95,32,"[""B04773""]",[-82]
796,1757769360.0,1757769360.0,2025-09-13 13:16:00 UTC,2025-09-13 08:16:00,device_scan,1,3,95,32,"[""B04773""]",[-82]
797,1757769420.0,1757769420.0,2025-09-13 13:17:00 UTC,2025-09-13 08:17:00,no_device_proximity,0,17,96,32,,
798,1757769480.0,1757769480.0,2025-09-13 13:18:00 UTC,2025-09-13 08:18:00,no_device_proximity,0,19,96,32,,
799,1757769540.0,1757769540.0,2025-09-13 13:19:00 UTC,2025-09-13 08:19:00,no_device_proximity,0,14,96,32,,
800,1757769600.0,1757769600.0,2025-09-13 13:20:00 UTC,2025-09-13 08:20:00,no_device_proximity,0,10,97,32,,
801,1757769660.0,1757769660.0,2025-09-13 13:21:00 UTC,2025-09-13 08:21:00,no_device_proximity,0,29,97,32,,
802,1757769720.0,1757769720.0,2025-09-13 13:22:00 UTC,2025-09-13 08:22:00,no_device_proximity,0,26,96,32,,
803,1757769780.0,1757769780.0,2025-09-13 13:23:00 UTC,2025-09-13 08:23:00,no_device_proximity,0,23,96,32,,
804,1757769840.0,1757769840.0,2025-09-13 13:24:00 UTC,2025-09-13 08:24:00,no_device_proximity,0,33,97,32,,
805,1757769900.0,1757769900.0,2025-09-13 13:25:00 UTC,2025-09-13 08:25:00,no_device_proximity,0,27,97,32,,
806,1757769960.0,1757769960.0,2025-09-13 13:26:00 UTC,2025-09-13 08:26:00,no_device_proximity,0,20,97,32,,
807,1757770020.0,1757770020.0,2025-09-13 13:27:00 UTC,2025-09-13 08:27:00,no_device_proximity,0,18,97,32,,
808,1757770080.0,1757770080.0,2025-09-13 13:28:00 UTC,2025-09-13 08:28:00,no_device_proximity,0,16,97,32,,
809,1757770140.0,1757770140.0,2025-09-13 13:29:00 UTC,2025-09-13 08:29:00,device_scan,1,36,96,32,"[""B04773""]",[-81]
810,1757770200.0,1757770200.0,2025-09-13 13:30:00 UTC,2025-09-13 08:30:00,no_device_proximity,0,17,96,32,,
811,1757770260.0,1757770260.0,2025-09-13 13:31:00 UTC,2025-09-13 08:31:00,no_device_proximity,0,16,97,32,,
812,1757770320.0,1757770320.0,2025-09-13 13:32:00 UTC,2025-09-13 08:32:00,no_device_proximity,0,6,97,32,,
813,1757770380.0,1757770380.0,2025-09-13 13:33:00 UTC,2025-09-13 08:33:00,device_scan,1,34,97,32,"[""B04773""]",[-81]
814,1757770440.0,1757770440.0,2025-09-13 13:34:00 UTC,2025-09-13 08:34:00,no_device_proximity,0,6,97,32,,
815,1757770500.0,1757770500.0,2025-09-13 13:35:00 UTC,2025-09-13 08:35:00,no_device_proximity,0,0,98,32,,
816,1757770560.0,1757770560.0,2025-09-13 13:36:00 UTC,2025-09-13 08:36:00,device_scan,1,7,98,32,"[""B04773""]",[-85]
817,1757770620.0,1757770620.0,2025-09-13 13:37:00 UTC,2025-09-13 08:37:00,no_device_proximity,0,6,98,32,,
818,1757770680.0,1757770680.0,2025-09-13 13:38:00 UTC,2025-09-13 08:38:00,device_scan,1,21,97,32,"[""B04773""]",[-76]
819,1757770740.0,1757770740.0,2025-09-13 13:39:00 UTC,2025-09-13 08:39:00,no_device_proximity,0,15,97,32,,
820,1757770800.0,1757770800.0,2025-09-13 13:40:00 UTC,2025-09-13 08:40:00,device_scan,1,10,98,32,"[""B04773""]",[-74]
821,1757770860.0,1757770860.0,2025-09-13 13:41:00 UTC,2025-09-13 08:41:00,device_scan,1,19,98,32,"[""B04773""]",[-81]
822,1757770920.0,1757770920.0,2025-09-13 13:42:00 UTC,2025-09-13 08:42:00,no_device_proximity,0,15,98,32,,
823,1757770980.0,1757770980.0,2025-09-13 13:43:00 UTC,2025-09-13 08:43:00,no_device_proximity,0,4,98,32,,
824,1757771040.0,1757771040.0,2025-09-13 13:44:00 UTC,2025-09-13 08:44:00,device_scan,1,2,98,32,"[""B04773""]",[-84]
825,1757771100.0,1757771100.0,2025-09-13 13:45:00 UTC,2025-09-13 08:45:00,no_device_proximity,0,7,98,32,,
826,1757771160.0,1757771160.0,2025-09-13 13:46:00 UTC,2025-09-13 08:46:00,no_device_proximity,0,11,98,32,,
827,1757771220.0,1757771220.0,2025-09-13 13:47:00 UTC,2025-09-13 08:47:00,no_device_proximity,0,3,98,32,,
828,1757771280.0,1757771280.0,2025-09-13 13:48:00 UTC,2025-09-13 08:48:00,no_device_proximity,0,4,98,32,,
829,1757771340.0,1757771340.0,2025-09-13 13:49:00 UTC,2025-09-13 08:49:00,no_device_proximity,0,23,98,32,,
830,1757771400.0,1757771400.0,2025-09-13 13:50:00 UTC,2025-09-13 08:50:00,no_device_proximity,0,42,98,32,,
831,1757771460.0,1757771460.0,2025-09-13 13:51:00 UTC,2025-09-13 08:51:00,no_device_proximity,0,3,98,32,,
832,1757771520.0,1757771520.0,2025-09-13 13:52:00 UTC,2025-09-13 08:52:00,device_scan,1,26,98,32,"[""B04773""]",[-83]
833,1757771580.0,1757771580.0,2025-09-13 13:53:00 UTC,2025-09-13 08:53:00,no_device_proximity,0,22,98,32,,
834,1757771640.0,1757771640.0,2025-09-13 13:54:00 UTC,2025-09-13 08:54:00,no_device_proximity,0,16,98,32,,
835,1757771700.0,1757771700.0,2025-09-13 13:55:00 UTC,2025-09-13 08:55:00,no_device_proximity,0,17,98,32,,
836,1757771760.0,1757771760.0,2025-09-13 13:56:00 UTC,2025-09-13 08:56:00,no_device_proximity,0,8,98,32,,
837,1757771820.0,1757771820.0,2025-09-13 13:57:00 UTC,2025-09-13 08:57:00,device_scan,1,26,98,32,"[""B04773""]",[-83]
838,1757771880.0,1757771880.0,2025-09-13 13:58:00 UTC,2025-09-13 08:58:00,no_device_proximity,0,41,98,32,,
839,1757771940.0,1757771940.0,2025-09-13 13:59:00 UTC,2025-09-13 08:59:00,device_scan,1,14,98,32,"[""B04773""]",[-82]
